Name,Platform,Version
2023-10-10T16:23:58,gir1.2-handy-1,amd64,1.6.1-1
2023-10-10T16:23:58,gir1.2-harfbuzz-0.0,amd64,2.7.4-1ubuntu3.1
2023-10-10T16:23:58,gir1.2-ibus-1.0,amd64,1.5.26-4
2023-10-10T16:23:58,gir1.2-javascriptcoregtk-4.0,amd64,2.40.5-0ubuntu0.22.04.1
2023-10-10T16:23:58,gir1.2-json-1.0,amd64,1.6.6-1build1
2023-10-10T16:23:58,gir1.2-mutter-10,amd64,42.9-0ubuntu4
2023-10-10T16:23:58,gir1.2-nm-1.0,amd64,1.36.6-0ubuntu2
2023-10-10T16:23:58,gir1.2-nma-1.0,amd64,1.8.34-1ubuntu1
2023-10-10T16:23:58,gir1.2-notify-0.7,amd64,0.7.9-3ubuntu5.22.04.1
2023-10-10T16:23:58,gir1.2-packagekitglib-1.0,amd64,1.2.5-2ubuntu2
2023-10-10T16:23:58,gir1.2-pango-1.0,amd64,1.50.6+ds-2ubuntu1
2023-10-10T16:23:58,gir1.2-peas-1.0,amd64,1.32.0-1
2023-10-10T16:23:58,gir1.2-polkit-1.0,amd64,0.105-33
2023-10-10T16:23:58,gir1.2-rsvg-2.0,amd64,2.52.5+dfsg-3ubuntu0.2
2023-10-10T16:23:58,gir1.2-secret-1,amd64,0.20.5-2
2023-10-10T16:23:58,gir1.2-snapd-1,amd64,1.60-0ubuntu1
2023-10-10T16:23:58,gir1.2-soup-2.4,amd64,2.74.2-3
2023-10-10T16:23:58,gir1.2-upowerglib-1.0,amd64,0.99.17-1
2023-10-10T16:23:58,gir1.2-vte-2.91,amd64,0.68.0-1
2023-10-10T16:23:58,gir1.2-webkit2-4.0,amd64,2.40.5-0ubuntu0.22.04.1
2023-10-10T16:23:58,gir1.2-wnck-3.0,amd64,40.1-1
2023-10-10T16:23:58,git,amd64,1:2.34.1-1ubuntu1.10
2023-10-10T16:23:58,git-man,all,1:2.34.1-1ubuntu1.10
2023-10-10T16:23:58,gjs,amd64,1.72.2-0ubuntu2
2023-10-10T16:23:58,gkbd-capplet,amd64,3.26.1-2
2023-10-10T16:23:58,glib-networking,amd64,2.72.0-1
2023-10-10T16:23:58,glib-networking-common,all,2.72.0-1
2023-10-10T16:23:58,glib-networking-services,amd64,2.72.0-1
2023-10-10T16:23:58,gnome-accessibility-themes,all,3.28-1ubuntu3
2023-10-10T16:23:58,gnome-bluetooth,amd64,3.34.5-8
2023-10-10T16:23:58,gnome-bluetooth-3-common,all,42.0-5
2023-10-10T16:23:58,gnome-bluetooth-common,all,3.34.5-8
2023-10-10T16:23:58,gnome-calculator,amd64,1:41.1-2ubuntu2
2023-10-10T16:23:58,gnome-characters,amd64,41.0-4
2023-10-10T16:23:58,gnome-control-center,amd64,1:41.7-0ubuntu0.22.04.7
2023-10-10T16:23:58,gnome-control-center-data,all,1:41.7-0ubuntu0.22.04.7
